Timestamp,"What is your racial identity? (If you identify with multiple ethnicities, please choose other and specify.)","If you responded in the previous question that you identified as Asian / Pacific Islander, please specify your ethnic identity.",What is your gender identity?,Are you currently a college student?,What school do you attend?,Major,"If you started Kendo in college, what year did you start? (skip if inapplicable)(current)","If you did NOT start Kendo in college, how old were you when you started? Please only write a numeric value. (eg. 7) (skip if inapplicable)(current)",Occupation,Major in College if started outside of College,"If you started Kendo in college, what year did you start? (skip if inapplicable)","If you did NOT start Kendo in college, how old were you when you started? Please only write a numeric value. (eg. 7) (skip if inapplicable)"
5/15/2023 16:34:06,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Woman,Yes,University of Washington ,Business Economics,,10,,,,
5/15/2023 16:35:01,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,University of Washington,Political Science,First Year,,,,,
5/15/2023 16:35:48,Black or African American.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,University of Washington ,Math,First Year,,,,,
5/15/2023 16:43:10,White / Caucasian.,,Man,Yes,University of Washington,Science,First Year,,,,,
5/15/2023 17:33:45,White / Caucasian.,,Man,Yes,University of Washington,Science,Third Year Grad,,,,,
5/15/2023 17:56:22,American Indian or Alaskan Native.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Woman,Yes,New York University,Art,First Year,,,,,
5/15/2023 17:58:07,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,NYU,Business Economics,First Year,,,,,
5/15/2023 18:06:01,Asian and white,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Woman,Yes,Johns Hopkins University,Science,Second Year,,,,,
5/15/2023 18:08:57,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Woman,Yes,NYU,Health,Third Year,,,,,
5/15/2023 18:10:47,Mixed,"West Asians / Middle Eastern ( Bahrain, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Palestine, Qatar, Saudi Arabia, Syria, Turkey (straddles Europe and Asia) United Arab Emirates and Yemen)",Man,Yes,NYU,Computer Science,First Year,,,,,
5/15/2023 18:14:13,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,Johns Hopkins ,Business Economics,,15,,,,
5/15/2023 18:28:35,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,University of Washington,Engineering,First Year,,,,,
5/15/2023 18:42:05,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,Johns Hopkins University ,Engineering,First Year,,,,,
5/15/2023 20:31:15,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,UCR,Sociology,,10,,,,
5/15/2023 20:33:17,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Woman,Yes,Johns Hopkins,Science,First Year,,,,,
5/15/2023 21:04:57,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Man,Yes,UCSD,Engineering,Third Year,,,,,
5/15/2023 21:05:40,Asian / Pacific Islander.,"East Asians (Chinese, Japanese, Korean, Okinawan, Taiwanese, Tibetan)",Non-binary,No,,,,,,Engineering,Second Year,
